group,subjectid,block,trial,latency,accuracy,task,tasksequence
BI_C_Digit,9.0,3.0,78,763.0,0.0,3.0,CBA
BI_C_Digit,9.0,3.0,79,884.0,1.0,1.0,CBA
BI_C_Digit,9.0,3.0,80,1742.0,1.0,2.0,CBA
BI_C_Digit,9.0,3.0,81,447.0,1.0,1.0,ABA
BI_C_Digit,9.0,3.0,82,1491.0,1.0,3.0,CBA
BI_C_Digit,9.0,3.0,83,558.0,1.0,2.0,CBA
BI_C_Digit,9.0,3.0,84,525.0,0.0,1.0,CBA
BI_C_Digit,9.0,3.0,85,714.0,1.0,3.0,CBA
BI_C_Digit,9.0,3.0,86,703.0,1.0,1.0,ABA
BI_C_Digit,9.0,3.0,87,1786.0,1.0,3.0,ABA
BI_C_Digit,9.0,3.0,88,1039.0,1.0,1.0,ABA
BI_C_Digit,9.0,3.0,89,1797.0,1.0,3.0,ABA
BI_C_Digit,9.0,3.0,90,935.0,1.0,2.0,CBA
BI_C_Digit,9.0,3.0,91,1306.0,1.0,3.0,ABA
BI_C_Digit,9.0,3.0,92,1735.0,1.0,2.0,ABA
BI_C_Digit,9.0,3.0,93,438.0,1.0,1.0,CBA
BI_C_Digit,9.0,3.0,94,3400.0,1.0,3.0,CBA
BI_C_Digit,9.0,3.0,95,1408.0,1.0,2.0,CBA
BI_C_Digit,9.0,3.0,96,580.0,1.0,3.0,ABA
BI_C_Digit,9.0,3.0,97,521.0,1.0,1.0,CBA
BI_C_Digit,9.0,3.0,98,819.0,1.0,2.0,CBA
BI_C_Digit,9.0,3.0,99,1516.0,0.0,1.0,ABA
BI_C_Digit,9.0,3.0,100,1555.0,1.0,3.0,CBA
BI_C_Digit,9.0,3.0,101,805.0,1.0,1.0,ABA
BI_C_Digit,9.0,3.0,102,960.0,1.0,3.0,ABA
BI_C_Digit,9.0,3.0,103,914.0,1.0,2.0,CBA
BI_C_Digit,9.0,3.0,104,833.0,1.0,1.0,CBA
BI_C_Digit,9.0,3.0,105,2587.0,1.0,2.0,ABA
BI_C_Digit,9.0,3.0,106,397.0,1.0,1.0,ABA
BI_C_Digit,9.0,3.0,107,610.0,1.0,3.0,CBA
BI_C_Digit,9.0,3.0,108,774.0,1.0,1.0,ABA
BI_C_Digit,9.0,3.0,109,1217.0,1.0,3.0,ABA
BI_C_Digit,9.0,3.0,110,1984.0,1.0,2.0,CBA
BI_C_Digit,9.0,3.0,111,1076.0,1.0,1.0,CBA
BI_C_Digit,9.0,3.0,112,640.0,0.0,3.0,CBA
BI_C_Digit,9.0,3.0,113,1013.0,1.0,1.0,ABA
BI_C_Digit,9.0,3.0,114,1094.0,1.0,2.0,CBA
BI_C_Digit,9.0,3.0,115,2307.0,1.0,1.0,ABA
BI_C_Digit,9.0,3.0,116,573.0,1.0,2.0,ABA
BI_C_Digit,9.0,3.0,117,658.0,1.0,1.0,ABA
BI_C_Digit,9.0,3.0,118,1712.0,1.0,2.0,ABA
BI_C_Digit,9.0,3.0,119,714.0,1.0,1.0,ABA
BI_C_Digit,9.0,3.0,120,1312.0,1.0,2.0,ABA
BI_C_Digit,9.0,4.0,1,746.0,1.0,3.0,0.0
BI_C_Digit,9.0,4.0,2,563.0,1.0,2.0,0.0
BI_C_Digit,9.0,4.0,3,1235.0,1.0,3.0,ABA
BI_C_Digit,9.0,4.0,4,698.0,1.0,2.0,ABA
BI_C_Digit,9.0,4.0,5,969.0,1.0,3.0,ABA
BI_C_Digit,9.0,4.0,6,792.0,1.0,2.0,ABA
BI_C_Digit,9.0,4.0,7,542.0,1.0,3.0,ABA
BI_C_Digit,9.0,4.0,8,767.0,1.0,2.0,ABA
BI_C_Digit,9.0,4.0,9,445.0,1.0,1.0,CBA
BI_C_Digit,9.0,4.0,10,720.0,1.0,2.0,ABA
BI_C_Digit,9.0,4.0,11,943.0,0.0,1.0,ABA
BI_C_Digit,9.0,4.0,12,714.0,1.0,2.0,ABA
BI_C_Digit,9.0,4.0,13,766.0,1.0,1.0,ABA
BI_C_Digit,9.0,4.0,14,531.0,1.0,3.0,CBA
BI_C_Digit,9.0,4.0,15,882.0,1.0,1.0,ABA
BI_C_Digit,9.0,4.0,16,495.0,1.0,3.0,ABA
BI_C_Digit,9.0,4.0,17,637.0,1.0,2.0,CBA
BI_C_Digit,9.0,4.0,18,487.0,1.0,1.0,CBA
BI_C_Digit,9.0,4.0,19,644.0,1.0,3.0,CBA
BI_C_Digit,9.0,4.0,20,709.0,0.0,2.0,CBA
BI_C_Digit,9.0,4.0,21,1133.0,1.0,1.0,CBA
BI_C_Digit,9.0,4.0,22,521.0,1.0,3.0,CBA
BI_C_Digit,9.0,4.0,23,414.0,1.0,2.0,CBA
BI_C_Digit,9.0,4.0,24,770.0,0.0,3.0,ABA
BI_C_Digit,9.0,4.0,25,1368.0,1.0,2.0,ABA
BI_C_Digit,9.0,4.0,26,383.0,1.0,1.0,CBA
BI_C_Digit,9.0,4.0,27,503.0,1.0,3.0,CBA
BI_C_Digit,9.0,4.0,28,490.0,1.0,2.0,CBA
BI_C_Digit,9.0,4.0,29,1223.0,1.0,3.0,ABA
BI_C_Digit,9.0,4.0,30,713.0,1.0,1.0,CBA
BI_C_Digit,9.0,4.0,31,668.0,1.0,3.0,ABA
